Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00175503010472917,0.000152527313137044,0.0164393216803801,0,0,0,4.51400070312395,0.00367840947099141,-3.23576007169648E-06,0.000274535262368248,0.00493046649237446,1.22323181861546E-05,0.00365832998427976,0,0,0,0,0,0,package://hopper_rev08/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hopper_rev08/meshes/base_link.STL,,"MOUNT PLATE REV03-1;LITHIUM POLYMER BATTERY 1200MAH 6S 75C-1;LITHIUM POLYMER BATTERY 1200MAH 6S 75C-4;BATTERY HOLDER REV04-1;BATTERY HOLDER REV04-2;POWER SWITCH-1;UP ASSEMBLY-1;MOTOR MOUNT, RIGHT REV03-1;MOTOR MOUNT, LEFT REV03-2;MOUNT BRACKET REV02-1;MOUNT BRACKET REV02-2;ODRIVE PRO BOARD 4.4-8;M5X15 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-10;M5X15 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-11;M5X50 FEMALE THREADED HEX STANDOFF-1;M5X15 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-12;M5X15 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-13;ODRIVE PRO BOARD ASSY-9;MN1005 STATOR SUBASSY-1;MOTOR R100 STATOR SUBASSY-1;MOTOR R100 STATOR SUBASSY-2;RMD-X10 STATOR SUBASSY-4;RMD-X10 STATOR SUBASSY-5;M4X18 MALE-FEMALE THREADED HEX STANDOFF-4;M4X18 MALE-FEMALE THREADED HEX STANDOFF-5;M4X18 MALE-FEMALE THREADED HEX STANDOFF-3;M4X18 MALE-FEMALE THREADED HEX STANDOFF-6;M5X50 FEMALE THREADED HEX STANDOFF-2;M5X50 FEMALE THREADED HEX STANDOFF-3;M5X15 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-15;M5X15 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-14;ODRIVE PRO BOARD ASSY-10;ODRIVE PRO BOARD ASSY-11;ODRIVE PRO BOARD ASSY-12;M3X12 BLACK OXIDE ALLOY STEEL HEX DRIVE FLAT HEAD SCREW-1;M3X12 BLACK OXIDE ALLOY STEEL HEX DRIVE FLAT HEAD SCREW-2;M3X12 BLACK OXIDE ALLOY STEEL HEX DRIVE FLAT HEAD SCREW-3;M3X12 BLACK OXIDE ALLOY STEEL HEX DRIVE FLAT HEAD SCREW-4;M3X8 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-1;M3X8 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-2;M4X8 BLACK-OXIDE ALLOY STEEL HEX DRIVE FLAT HEAD SCREW-18;M4X8 BLACK-OXIDE ALLOY STEEL HEX DRIVE FLAT HEAD SCREW-17;M4X8 BLACK-OXIDE ALLOY STEEL HEX DRIVE FLAT HEAD SCREW-14;M4X8 BLACK-OXIDE ALLOY STEEL HEX DRIVE FLAT HEAD SCREW-15;M4X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-9;M4X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-10;M4X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-11;M4X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-12;M4X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-13;M4X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-14;M4X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-15;M4X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-16;M5X10 METRIC TITANIUM PHILLIPS FLAT HEAD SCREW 91307A012-1;M5X10 METRIC TITANIUM PHILLIPS FLAT HEAD SCREW 91307A012-6;M5X10 METRIC TITANIUM PHILLIPS FLAT HEAD SCREW 91307A012-5;M5X10 METRIC TITANIUM PHILLIPS FLAT HEAD SCREW 91307A012-4;M5X10 METRIC TITANIUM PHILLIPS FLAT HEAD SCREW 91307A012-7;M5X10 METRIC TITANIUM PHILLIPS FLAT HEAD SCREW 91307A012-8;M5X10 METRIC TITANIUM PHILLIPS FLAT HEAD SCREW 91307A012-9;M5X10 METRIC TITANIUM PHILLIPS FLAT HEAD SCREW 91307A012-10",origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link 0,0.00532254723786838,0.0312919322159349,0.000492240042371901,0,0,0,0.586954605797748,0.000227426543743824,1.53798003742491E-05,-8.48629875488119E-06,0.000542296778294892,1.08258982588965E-06,0.000337787614156298,0,0,0,0,0,0,package://hopper_rev08/meshes/Link 0.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hopper_rev08/meshes/Link 0.STL,,LINK 0 REV01-6;57155K561_SS BALL BEARING-1;91235A314_BELLEVILLE SPRING LOCK WASHER-8;57155K561_SS BALL BEARING-2;57155K561_SS BALL BEARING-3;M5X15 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-4;M5X15 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-5;M5X15 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-6;RMD-X10 ROTOR SUBASSY-1,origin_joint0,Axis0-2,Joint 0,revolute,0,0,0,0,0.5236,0,base_link,0,-1,0,0,0,-3.14,3.14,,,,,,,,
Link 1,0.13310164596639,0.00662597443711811,-1.77401791867648E-09,0,0,0,0.0631473819780334,2.55548531328052E-06,6.97717874493083E-12,-1.43600066854176E-12,0.000104301911822778,7.22908180570549E-12,0.000104301119173826,0,0,0,0,0,0,package://hopper_rev08/meshes/Link 1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hopper_rev08/meshes/Link 1.STL,,91235A314_BELLEVILLE SPRING LOCK WASHER-9;90269A209_316 SS SHOULDER SCREW-2;TUBE BRACKET REV01-1;90576A102_ZINC-PLATED CLASS 8 STL NYLON-INSERT LOCKNUT-3;TUBE BRACKET REV01-2;LINK 1 REV02-1;FOAM TUBING 1-1;FOAM TUBING 1-2;91235A314_BELLEVILLE SPRING LOCK WASHER-10;90576A102_ZINC-PLATED CLASS 8 STL NYLON-INSERT LOCKNUT-4;SHIM 4X6X0.3-6;SHIM 4X6X0.3-7;SHIM 4X6X0.3-8;SHIM 4X6X0.3-9;90323A218_18-8 SS LOW-PROFILE PRECISION SHOULDER SCREW-2;SHIM 4X6X0.3-5;CABLE MOUNT REV01-1;SHIM 4X6X0.3-10;SHIM 4X6X0.3-11;SHIM 4X6X0.3-12;SHIM 4X6X0.3-1,origin_joint1,Axis1,Joint 1,revolute,0.1,0,0,3.1416,1.0768,3.1416,Link 0,0,-1,0,0,0,-0.7597,1.8295,,,,,,,,
Link 2,0.0181413414326611,-0.0300644982462197,-0.000292456416569055,0,0,0,0.619414111352979,0.000223610216059139,-3.25959928890848E-07,5.24627039602807E-06,0.000615247781706059,3.01269748941687E-08,0.000415641686191928,0,0,0,0,0,0,package://hopper_rev08/meshes/Link 2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hopper_rev08/meshes/Link 2.STL,,"JOINT 2 REV02-1;LINK 2 REV02-1;EXTENSION SPRING PE067-500-62701-MW-5000-CO-N-IN-1;SPACER, SPRING MOUNT-1;WASHER, SPRING MOUNT-1;CABLE GUIDE SHEAVE REV01-1;7804K1_SS BALL BEARING-1;JOINT 3 REV02-1;SHIM 4X6X0.3-2;SHIM 4X6X0.3-3;91235A314_BELLEVILLE SPRING LOCK WASHER-11;91235A314_BELLEVILLE SPRING LOCK WASHER-12;90323A444_18-8 SS LOW-PROFILE PRECISION SHOULDER SCREW-1;SPACER, JOINT 3-1;SPACER, JOINT 3-2;SPACER, JOINT 3-3;90576A102_ZINC-PLATED CLASS 8 STL NYLON-INSERT LOCKNUT-5;M5X15 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-7;M5X15 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-9;M5X15 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-8;M5X20 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-1;91595A150_DOWEL PIN-1;RMD-X10 ROTOR SUBASSY-2",origin_joint2,Axis0-2,Joint 2,revolute,0,0,0,3.1416,0.55323,3.1416,base_link,0,-1,0,0,0,-3.14,3.14,,,,,,,,
Link 3,0.101438168534655,-0.00250998138733511,-0.0148532860240944,0,0,0,0.124857600438339,1.60742533918104E-05,-5.54606498912151E-07,1.00368232128696E-06,0.000116506434452896,1.07130350261427E-07,0.000112946753727812,0,0,0,0,0,0,package://hopper_rev08/meshes/Link 3.STL,1,1,1,1,0,0,0,0,0,0,package://hopper_rev08/meshes/Link 3.STL,,"LINK 3 REV02-1;JOINT 3 CONNECTOR REV01-1;57155K561_SS BALL BEARING-4;57155K561_SS BALL BEARING-5;57155K561_SS BALL BEARING-6;57155K561_SS BALL BEARING-7;JOINT 4 REV01-1;SHIM 4X6X0.3-4;FOOT INSERT REV02-2;FOOT CONNECTOR REV02-1;FOOT PADDING, INNER REV01-1;FOOT PADDING, OUTER REV01-1;MMA8452Q-BREAKOUT-1;BOARD HOLDER REV01-1;M1.6X3 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-1;M1.6X3 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-2",origin_joint3,Axis3,Joint 3,revolute,0.27,0,0,-3.1416,-1.0768,3.1416,Link 2,0,-1,0,0,0,-1.8295,0.7597,,,,,,,,
rw0,-0.0115567063467111,-9.87030621124596E-09,-5.44727483397052E-10,0,0,0,0.711638774644899,0.00353741807101941,-2.02247671192944E-11,-2.13661861867115E-11,0.00179202767102953,1.17051665560957E-11,0.00179202753958039,0,0,0,0,0,0,package://hopper_rev08/meshes/rw0.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://hopper_rev08/meshes/rw0.STL,,"FLYWHEEL, ROLL-PITCH REV02-1;MOTOR R100 ROTOR SUBASSY-1;M4X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-5;M4X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-6;M4X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-7;91595A150_DOWEL PIN-4;M4X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-8;91595A150_DOWEL PIN-5",origin_joint_rw0,Axis_rw0,joint_rw0,continuous,0.056569,-0.1372,0,3.1416,0,-0.7854,base_link,-1,0,0,,,,,,,,,,,,
rw1,-0.0115568758230247,9.87647955086324E-09,5.55701687190008E-10,0,0,0,0.711638774351903,0.00353741806943413,2.02143131335271E-11,2.13499682946752E-11,0.00179202767033281,1.15301454856464E-11,0.00179202753869205,0,0,0,0,0,0,package://hopper_rev08/meshes/rw1.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://hopper_rev08/meshes/rw1.STL,,"FLYWHEEL, ROLL-PITCH REV02-2;MOTOR R100 ROTOR SUBASSY-2;M4X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-1;M4X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-2;M4X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-3;M4X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-4;91595A150_DOWEL PIN-2;91595A150_DOWEL PIN-3",origin_joint_rw1,Axis_rw1,joint_rw1,continuous,0.056569,0.1372,0,0,0,0.7854,base_link,-1,0,0,,,,,,,,,,,,
rwz,1.51930469594053E-09,-2.24012364567906E-09,-0.0088575158066873,0,0,0,0.356354012275079,0.000387758083080237,-1.70707272380331E-09,7.35539719441431E-12,0.000387758098776146,-1.15377941738063E-11,0.000767191620605786,0,0,0,0,0,0,package://hopper_rev08/meshes/rwz.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://hopper_rev08/meshes/rwz.STL,,"FLYWHEEL, YAW REV02-1;MN1005 ROTOR SUBASSY-1;M3X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-1;M3X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-4;M3X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-5;M3X10 BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-2",origin_joint_rwz,Axis_rwz,joint_rwz,continuous,-0.076,0,0.0834999999999998,0,0,-3.14159265358978,base_link,0,0,-1,,,,,,,,,,,,
