Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0110761344080843,0.000141268987797121,0.0155741743886181,0,0,0,3.68166624253178,0.00330376802967453,-3.18123125258886E-06,5.28104083216726E-05,0.00557184018329421,8.35298935883454E-06,0.00400805157934991,0,0,0,0,0,0,package://hopper_rev06/meshes/base_link.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://hopper_rev06/meshes/base_link.STL,,"RMD-X10 FRAME-1;RMD-X10 FRAME-2;FRAME, LEFT REV04-1;FRAME, RIGHT REV04-1;MOUNT PLATE REV03-1;LITHIUM POLYMER BATTERY 1300MAH 6S 75C-3;ODRIVE PRO BOARD 4.4-1;LITHIUM POLYMER BATTERY 1300MAH 6S 75C-4;DRIVER MOUNT, RIGHT REV05-1;BATTERY HOLDER REV02-1;ODRIVE PRO BOARD 4.4-4;BATTERY HOLDER REV02-2;POWER SWITCH-1;UP ASSEMBLY-1;ODRIVE PRO BOARD 4.4-5;MOTOR MOUNT, RIGHT REV03-1;DRIVER MOUNT, LEFT REV05-1;MOTOR MOUNT, LEFT REV03-2;ODRIVE PRO BOARD 4.4-6;MOUNT BRACKET REV01-1;MOUNT BRACKET REV01-2;ODRIVE PRO BOARD 4.4-8;91290A232_M5X15 BLACK-OXIDE ALLOY STEEL SHCS-1;91290A232_M5X15 BLACK-OXIDE ALLOY STEEL SHCS-2;94868A765_M5X40 FEMALE THREADED HEX STANDOFF-1;94868A767_M5X50 FEMALE THREADED HEX STANDOFF-1;91290A232_M5X15 BLACK-OXIDE ALLOY STEEL SHCS-3;91290A232_M5X15 BLACK-OXIDE ALLOY STEEL SHCS-4",origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link 0,0.0121851264299001,0.0180889013941822,0.0011269039274232,0,0,0,0.256385566504038,3.84650100874954E-05,1.53797840600967E-05,-8.48318798628679E-06,0.000172633747470931,1.0826020137548E-06,0.000148822440720503,0,0,0,0,0,0,package://hopper_rev06/meshes/Link 0.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://hopper_rev06/meshes/Link 0.STL,,RMX-X10 OUTPUT-2;LINK 0 REV01-6;57155K561_SS BALL BEARING-1;91235A314_BELLEVILLE SPRING LOCK WASHER-8;57155K561_SS BALL BEARING-2;57155K561_SS BALL BEARING-3;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-4;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-5;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-6,origin_joint0,Axis0-2,Joint 0,revolute,0,0,0,0,0.5235987755983,0,base_link,0,-1,0,0,0,-3.14,3.14,,,,,,,,
Link 1,0.13310164596629,0.00652998365271666,-1.7740151708745E-09,0,0,0,0.0631473819780799,2.55548531328704E-06,6.97718074651015E-12,-1.43600132880394E-12,0.000104301911822778,7.22908038202189E-12,0.000104301119173832,0,0,0,0,0,0,package://hopper_rev06/meshes/Link 1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hopper_rev06/meshes/Link 1.STL,,91235A314_BELLEVILLE SPRING LOCK WASHER-9;90269A209_316 SS SHOULDER SCREW-2;TUBE BRACKET REV01-1;90576A102_ZINC-PLATED CLASS 8 STL NYLON-INSERT LOCKNUT-3;TUBE BRACKET REV01-2;LINK 1 REV02-1;FOAM TUBING 1-1;FOAM TUBING 1-2;91235A314_BELLEVILLE SPRING LOCK WASHER-10;90576A102_ZINC-PLATED CLASS 8 STL NYLON-INSERT LOCKNUT-4;SHIM 4X6X0.3-6;SHIM 4X6X0.3-7;SHIM 4X6X0.3-8;SHIM 4X6X0.3-9;90323A218_18-8 SS LOW-PROFILE PRECISION SHOULDER SCREW-2;SHIM 4X6X0.3-5;CABLE MOUNT REV01-1;SHIM 4X6X0.3-10;SHIM 4X6X0.3-11;SHIM 4X6X0.3-12;SHIM 4X6X0.3-1,origin_joint1,Axis1,Joint 1,revolute,0.1,0,0,3.14159265358979,1.0768315178335,3.14159265358979,Link 0,0,-1,0,0,0,-0.7597,1.8295,,,,,,,,
Link 2,0.0389032293637842,-0.0169313660252927,-0.00062714851995424,0,0,0,0.288845046277999,3.4648830362342E-05,-3.25958928897899E-07,5.2492868552874E-06,0.000245584747760095,3.01080375570482E-08,0.000226676363063251,0,0,0,0,0,0,package://hopper_rev06/meshes/Link 2.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://hopper_rev06/meshes/Link 2.STL,,"RMX-X10 OUTPUT-1;JOINT 2 REV02-1;LINK 2 REV02-1;EXTENSION SPRING PE067-500-62701-MW-5000-CO-N-IN-1;SPACER, SPRING MOUNT-1;WASHER, SPRING MOUNT-1;CABLE GUIDE SHEAVE REV01-1;7804K1_SS BALL BEARING-1;JOINT 3 REV02-1;SHIM 4X6X0.3-2;SHIM 4X6X0.3-3;91235A314_BELLEVILLE SPRING LOCK WASHER-11;91235A314_BELLEVILLE SPRING LOCK WASHER-12;90323A444_18-8 SS LOW-PROFILE PRECISION SHOULDER SCREW-1;SPACER, JOINT 3-1;SPACER, JOINT 3-2;SPACER, JOINT 3-3;90576A102_ZINC-PLATED CLASS 8 STL NYLON-INSERT LOCKNUT-5;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-1;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-3;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-2;91290A242_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-1;91595A150_DOWEL PIN-1",origin_joint2,Axis0-2,Joint 2,revolute,0,0,0,3.14159265358979,0.553232742319403,3.14159265358979,base_link,0,-1,0,0,0,-3.14,3.14,,,,,,,,
Link 3,0.101438172775234,-0.00251001101899883,-0.0148532859416909,0,0,0,0.12485760438479,1.60742534536502E-05,-5.5460647831407E-07,1.00368296290725E-06,0.000116506435004822,1.07130466352274E-07,0.000112946753721548,0,0,0,0,0,0,package://hopper_rev06/meshes/Link 3.STL,1,1,1,1,0,0,0,0,0,0,package://hopper_rev06/meshes/Link 3.STL,,"LINK 3 REV02-1;JOINT 3 CONNECTOR REV01-1;57155K561_SS BALL BEARING-4;57155K561_SS BALL BEARING-5;57155K561_SS BALL BEARING-6;57155K561_SS BALL BEARING-7;JOINT 4 REV01-1;SHIM 4X6X0.3-4;FOOT INSERT REV02-2;FOOT CONNECTOR REV02-1;FOOT PADDING, INNER REV01-1;FOOT PADDING, OUTER REV01-1;MMA8452Q-BREAKOUT-1;BOARD HOLDER REV01-1;91290A020_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-1;91290A020_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-2",origin_joint3,Axis3,Joint 3,revolute,0.270000000042219,0,0,-3.14159265358979,-1.07683151743819,3.14159265358979,Link 2,0,-1,0,0,0,-1.8295,0.7597,,,,,,,,
rw0,-0.0115568081135589,-9.81216601025903E-10,1.32006692903086E-09,0,0,0,0.699974398576598,0.00353732834325705,1.36817467077943E-12,6.30157024109589E-12,0.00179178249288336,1.27547328167971E-11,0.00179178236239305,0,0,0,0,0,0,package://hopper_rev06/meshes/rw0.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://hopper_rev06/meshes/rw0.STL,,FLYWHEEL REV02-1;MOTOR R100 ROTOR SUBASSY-1,origin_joint_rw0,Axis_rw0,joint_rw0,continuous,0.0579120453791777,-0.143152456608642,0,-2.90216934410662,0,-0.785398163397452,base_link,-1,0,0,,,,,,,,,,,,
rw1,-0.0115568081644951,9.71279542905101E-10,-1.34360475017036E-09,0,0,0,0.699974399693299,0.00353732834248013,-1.3591776901016E-12,-6.26886483316682E-12,0.00179178249239798,1.22342612211276E-11,0.00179178236210302,0,0,0,0,0,0,package://hopper_rev06/meshes/rw1.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://hopper_rev06/meshes/rw1.STL,,FLYWHEEL REV02-2;MOTOR R100 ROTOR SUBASSY-2,origin_joint_rw1,Axis_rw1,joint_rw1,continuous,0.057912045379178,0.143152456608639,0,0,0,0.785398163397453,base_link,-1,0,0,,,,,,,,,,,,
rwz,1.55914313404448E-09,-6.66199071602813E-10,-0.00894655323759558,0,0,0,0.3530441284474,0.000387725157142702,-1.70165517509875E-09,-1.35909543087329E-12,0.000387725171196821,-1.97458261404528E-12,0.000767231120591178,0,0,0,0,0,0,package://hopper_rev06/meshes/rwz.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://hopper_rev06/meshes/rwz.STL,,"FLYWHEEL, YAW REV02-1;MN1005 ROTOR SUBASSY-1",origin_joint_rwz,Axis_rwz,joint_rwz,continuous,-0.076,0,0.0835000000000001,0,0,-2.75036855597829,base_link,0,0,-1,,,,,,,,,,,,
