Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00261236312196263,0.000103468861747552,0.022500687974853,0,0,0,4.33217212032757,0.00375815397665076,-3.2239869384024E-06,5.54302905240728E-05,0.00602760648024803,8.35763269355205E-06,0.00485347607828087,0,0,0,0,0,0,package://hopper_cmg/meshes/base_link.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://hopper_cmg/meshes/base_link.STL,,"RMD-X10 FRAME-1;RMD-X10 FRAME-2;MOTOR 8318, STATOR-3/MOTOR BACK HOUSING REV01-2;MOTOR 8318, STATOR-3;FRAME, LEFT REV04-1;FRAME, RIGHT REV04-1;MOUNT PLATE REV02-1;LITHIUM POLYMER BATTERY 1300MAH 6S 75C-3;ODRIVE PRO BOARD 4.4-1;LITHIUM POLYMER BATTERY 1300MAH 6S 75C-4;DRIVER MOUNT, RIGHT REV05-1;BATTERY HOLDER REV02-1;ODRIVE PRO BOARD 4.4-4;BATTERY HOLDER REV02-2;POWER SWITCH-1;UP ASSEMBLY-1;ODRIVE PRO BOARD 4.4-5;MOTOR MOUNT, RIGHT REV02-1;DRIVER MOUNT, LEFT REV05-1;MOTOR MOUNT, LEFT REV02-2;ODRIVE PRO BOARD 4.4-6;MOUNT BRACKET REV01-1;MOUNT BRACKET REV01-2;ODRIVE PRO BOARD 4.4-8;91290A232_M5X15 BLACK-OXIDE ALLOY STEEL SHCS-1;91290A232_M5X15 BLACK-OXIDE ALLOY STEEL SHCS-2;94868A765_M5X40 FEMALE THREADED HEX STANDOFF-1;94868A767_M5X50 FEMALE THREADED HEX STANDOFF-1;91290A232_M5X15 BLACK-OXIDE ALLOY STEEL SHCS-3;91290A232_M5X15 BLACK-OXIDE ALLOY STEEL SHCS-4;CMG FRAME REV01-2;CMG FRAME REV01-1",origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link 0,0.0121851264299085,0.018088901394185,0.00112690392742548,0,0,0,0.256385566503952,3.84650100874964E-05,1.5379784060096E-05,-8.48318798628566E-06,0.00017263374747093,1.08260201375488E-06,0.000148822440720501,0,0,0,0,0,0,package://hopper_cmg/meshes/Link 0.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://hopper_cmg/meshes/Link 0.STL,,RMX-X10 OUTPUT-2;LINK 0 REV01-6;57155K561_SS BALL BEARING-1;91235A314_BELLEVILLE SPRING LOCK WASHER-8;57155K561_SS BALL BEARING-2;57155K561_SS BALL BEARING-3;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-4;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-5;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-6,origin_joint0,Axis0-2,Joint 0,revolute,0,0,0,0,0.5235987755983,0,base_link,0,-1,0,0,0,-3.14,3.14,,,,,,,,
Link 1,0.133101645966311,0.00652998365272101,-1.77401554557477E-09,0,0,0,0.0631473819780702,2.55548531328565E-06,6.97718053252048E-12,-1.4360015252097E-12,0.000104301911822778,7.2290806785121E-12,0.000104301119173831,0,0,0,0,0,0,package://hopper_cmg/meshes/Link 1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hopper_cmg/meshes/Link 1.STL,,91235A314_BELLEVILLE SPRING LOCK WASHER-9;90269A209_316 SS SHOULDER SCREW-2;TUBE BRACKET REV01-1;90576A102_ZINC-PLATED CLASS 8 STL NYLON-INSERT LOCKNUT-3;TUBE BRACKET REV01-2;LINK 1 REV02-1;FOAM TUBING 1-1;FOAM TUBING 1-2;91235A314_BELLEVILLE SPRING LOCK WASHER-10;90576A102_ZINC-PLATED CLASS 8 STL NYLON-INSERT LOCKNUT-4;SHIM 4X6X0.3-6;SHIM 4X6X0.3-7;SHIM 4X6X0.3-8;SHIM 4X6X0.3-9;90323A218_18-8 SS LOW-PROFILE PRECISION SHOULDER SCREW-2;SHIM 4X6X0.3-5;CABLE MOUNT REV01-1;SHIM 4X6X0.3-10;SHIM 4X6X0.3-11;SHIM 4X6X0.3-12;SHIM 4X6X0.3-1,origin_joint1,Axis1,Joint 1,revolute,0.0999999999999999,0,0,-3.14159265358979,1.0768315178335,-3.14159265358979,Link 0,0,-1,0,0,0,-0.7597,1.8295,,,,,,,,
Link 2,0.0389032292366799,-0.0169313659858608,-0.000627148515342589,0,0,0,0.288845047026487,3.46488303945479E-05,-3.25958703037608E-07,5.24928694320162E-06,0.000245584749831182,3.01080240182646E-08,0.000226676365115679,0,0,0,0,0,0,package://hopper_cmg/meshes/Link 2.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://hopper_cmg/meshes/Link 2.STL,,"RMX-X10 OUTPUT-1;JOINT 2 REV02-1;LINK 2 REV02-1;EXTENSION SPRING PE067-500-62701-MW-5000-CO-N-IN-1;SPACER, SPRING MOUNT-1;WASHER, SPRING MOUNT-1;CABLE GUIDE SHEAVE REV01-1;7804K1_SS BALL BEARING-1;JOINT 3 REV02-1;SHIM 4X6X0.3-2;SHIM 4X6X0.3-3;91235A314_BELLEVILLE SPRING LOCK WASHER-11;91235A314_BELLEVILLE SPRING LOCK WASHER-12;90323A444_18-8 SS LOW-PROFILE PRECISION SHOULDER SCREW-1;SPACER, JOINT 3-1;SPACER, JOINT 3-2;SPACER, JOINT 3-3;90576A102_ZINC-PLATED CLASS 8 STL NYLON-INSERT LOCKNUT-5;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-1;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-3;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-2;91290A242_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-1;91595A150_DOWEL PIN-1",origin_joint2,Axis0-2,Joint 2,revolute,0,0,0,3.14159265358979,0.553232742319403,-3.14159265358979,base_link,0,-1,0,0,0,-3.14,3.14,,,,,,,,
Link 3,0.101438171272256,-0.00251001084087024,-0.014853285679165,0,0,0,0.124857602987161,1.6074253426557E-05,-5.546065674457E-07,1.00368287669173E-06,0.000116506435095087,1.07130834491584E-07,0.000112946753591596,0,0,0,0,0,0,package://hopper_cmg/meshes/Link 3.STL,1,1,1,1,0,0,0,0,0,0,package://hopper_cmg/meshes/Link 3.STL,,"LINK 3 REV02-1;JOINT 3 CONNECTOR REV01-1;57155K561_SS BALL BEARING-4;57155K561_SS BALL BEARING-5;57155K561_SS BALL BEARING-6;57155K561_SS BALL BEARING-7;JOINT 4 REV01-1;SHIM 4X6X0.3-4;FOOT INSERT REV02-2;FOOT CONNECTOR REV02-1;FOOT PADDING, INNER REV01-1;FOOT PADDING, OUTER REV01-1;MMA8452Q-BREAKOUT-1;BOARD HOLDER REV01-1;91290A020_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-1;91290A020_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-2",origin_joint3,Axis3,Joint 3,revolute,0.270000000042219,0,0,-3.14159265358979,-1.07683151743819,3.14159265358979,Link 2,0,-1,0,0,0,-1.8295,0.7597,,,,,,,,
gimbal0,-3.24439967699375E-05,-0.00476693417491843,-0.0330147004711936,0,0,0,0.145059153810549,2.16270334418995E-05,-3.51124299812495E-08,-1.74609413518481E-09,2.68084572591951E-05,-1.59653002770007E-08,1.56100554784467E-05,0,0,0,0,0,0,package://hopper_cmg/meshes/gimbal0.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hopper_cmg/meshes/gimbal0.STL,,GIMBAL AXIS-1;T-MOTOR MN3110 STATOR-1,origin_gimbal0,Axis_gimbal0,joint_gimbal0,revolute,0.0434163563648536,-0.166840533778391,0.047,1.5707963267949,0,0.785398163397444,base_link,0,0,1,0,0,0,0,,,,,,,,
rw0,9.47886189019143E-08,-1.24203106049992E-07,-0.00582396171800516,0,0,0,0.109706994641609,9.95338627754692E-05,1.3895571802408E-12,-7.31886554489886E-11,9.95339311647889E-05,8.72494565324636E-11,0.000195642439396555,0,0,0,0,0,0,package://hopper_cmg/meshes/rw0.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://hopper_cmg/meshes/rw0.STL,,FLYWHEEL REV01-2;T-MOTOR MN3110 ROTOR-1,origin_rw0,Axis_rw0,joint_rw0,continuous,0,0.0157238798738165,-0.033,1.5707963267949,0.73592271139374,3.14159265358979,gimbal0,0,0,-1,,,,,,,,,,,,
gimbal1,-3.4113050815722E-05,-0.0047669345728021,-0.032989749189664,0,0,0,0.145059160959022,2.16762455646179E-05,-3.69555052597995E-08,5.81578374244778E-08,2.6808460074062E-05,1.10520369083825E-08,1.5560847336979E-05,0,0,0,0,0,0,package://hopper_cmg/meshes/gimbal1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hopper_cmg/meshes/gimbal1.STL,,GIMBAL AXIS-2;T-MOTOR MN3110 STATOR-2,origin_gimbal1,Axis_gimbal1,joint_gimbal1,revolute,0.12827,-0.081988,0.047,1.5708,0,0.7854,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
rw1,1.24203105980603E-07,9.47886189400782E-08,-0.00582396171800517,0,0,0,0.109706994641609,9.95339311647886E-05,-1.38955724165069E-12,-8.72494565091135E-11,9.95338627754689E-05,-7.31886554552723E-11,0.000195642439396555,0,0,0,0,0,0,package://hopper_cmg/meshes/rw1.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://hopper_cmg/meshes/rw1.STL,,FLYWHEEL REV01-1;T-MOTOR MN3110 ROTOR-2,origin_rw1,Axis_rw1,joint_rw1,continuous,0,0.0157238798738165,-0.033,-1.57079632679489,1.55219801879299,0,gimbal1,0,0,-1,,,,,,,,,,,,
rwz,9.0534275284937E-09,-3.16385466436753E-10,-0.0146079871766001,0,0,0,0.377854494953543,0.000300958121757204,-4.23471739445513E-12,-6.67153439557392E-12,0.000300957997312783,9.55842482003147E-14,0.000578115934214616,0,0,0,0,0,0,package://hopper_cmg/meshes/rwz.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://hopper_cmg/meshes/rwz.STL,,"FLYWHEEL, YAW REV01-1;MOTOR 8318, ROTOR-3",origin_joint_rwz,AxisRWZ,joint_rwz,continuous,-0.076,0,0.0991000000000001,0,0,-2.35619449019233,base_link,0,0,1,,,,,,,,,,,,
gimbal2,-3.24439967679946E-05,-0.00476693417491841,-0.0330147004711915,0,0,0,0.14505915381055,2.16270334418995E-05,-3.51124299812684E-08,-1.74609413519074E-09,2.68084572591952E-05,-1.59653002770028E-08,1.56100554784468E-05,0,0,0,0,0,0,package://hopper_cmg/meshes/gimbal2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hopper_cmg/meshes/gimbal2.STL,,GIMBAL AXIS-3;T-MOTOR MN3110 STATOR-3,origin_gimbal2,Axis_gimbal2,joint_gimbal2,revolute,0.12827,0.081988,0.047,1.5708,0,2.3562,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
rw2,9.47886189192615E-08,-1.24203106063869E-07,-0.00582396171800513,0,0,0,0.109706994641609,9.95338627754697E-05,1.3895571802408E-12,-7.31886554593309E-11,9.95339311647895E-05,8.72494565352559E-11,0.000195642439396556,0,0,0,0,0,0,package://hopper_cmg/meshes/rw2.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://hopper_cmg/meshes/rw2.STL,,FLYWHEEL REV01-4;T-MOTOR MN3110 ROTOR-3,origin_rw2,Axis_rw2,joint_rw2,continuous,0,0.0157238798738165,-0.0329999999999979,1.5707963267949,0.73592271139374,3.14159265358979,gimbal2,0,0,-1,,,,,,,,,,,,
gimbal3,-3.41130091143782E-05,-0.00476693456543523,-0.03298974918902,0,0,0,0.145059160100867,2.16762455706335E-05,-3.69554946688803E-08,5.81578377267653E-08,2.68084600312876E-05,1.10520332051451E-08,1.55608472953775E-05,0,0,0,0,0,0,package://hopper_cmg/meshes/gimbal3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hopper_cmg/meshes/gimbal3.STL,,GIMBAL AXIS-4;T-MOTOR MN3110 STATOR-4,origin_gimbal3,Axis_gimbal3,joint_gimbal3,revolute,0.043416,0.16684,0.047,1.5708,0,2.3562,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
rw3,1.2420310599448E-07,9.47886189817115E-08,-0.00582396171800516,0,0,0,0.109706994641609,9.95339311647888E-05,-1.38955725181508E-12,-8.72494565114555E-11,9.95338627754691E-05,-7.31886554634405E-11,0.000195642439396555,0,0,0,0,0,0,package://hopper_cmg/meshes/rw3.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://hopper_cmg/meshes/rw3.STL,,T-MOTOR MN3110 ROTOR-4;FLYWHEEL REV01-3,origin_rw3,Axis_rw3,joint_rw3,continuous,0,0.0157238798738165,-0.033,-1.57079632679489,1.55219801879299,0,gimbal3,0,0,-1,,,,,,,,,,,,
