Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.04621790177729E-19,8.32716201197779E-21,-0.00453036363805971,0,0,0,0.0179726942298267,1.65261736708293E-06,-5.05624879079861E-23,-1.1130256547726E-22,1.48252036342011E-06,-1.07343474858583E-22,1.3425053205757E-06,0,0,0,0,0,0,package://cmg_mockup/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cmg_mockup/meshes/base_link.STL,,BASE-1,origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
frame,1.11958587767099E-17,8.61613300303699E-10,0.183985949426508,0,0,0,0.135843181460511,0.00135654985342586,6.75768354822669E-11,7.31996954916908E-20,0.00132064999849433,-8.03639604769252E-12,7.25202012105515E-05,0,0,0,0,0,0,package://cmg_mockup/meshes/frame.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cmg_mockup/meshes/frame.STL,,FRAME-1,origin_global,axis_joint0,joint0,revolute,0,0,0,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
gimbal1,-6.15027795000011E-18,0,5.55111512312578E-17,0,0,0,0.00730600065730224,5.14476869835539E-07,5.72219288718141E-22,1.31049057483626E-22,2.49838326078774E-06,2.30858111807237E-23,2.44215073098293E-06,0,0,0,0,0,0,package://cmg_mockup/meshes/gimbal1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cmg_mockup/meshes/gimbal1.STL,,GIMBAL AXIS-1,Coordinate System1,axis_joint1,joint1,revolute,0,-0.022,0.3,0,0,0,frame,-1,0,0,0,0,0,0,,,,,,,,
flywheel1,-5.50575632364296E-18,-3.46944695195361E-18,-0.000257572459907096,0,0,0,0.0115837700311142,1.69787427560436E-06,5.71998624754687E-22,-1.21376645313962E-23,1.69787427560436E-06,1.69168888618569E-23,3.36639551515697E-06,0,0,0,0,0,0,package://cmg_mockup/meshes/flywheel1.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://cmg_mockup/meshes/flywheel1.STL,,FLYWHEEL REV01-2,Coordinate System1,axis_joint2,joint2,continuous,0,0,0,0,0,0,gimbal1,0,0,-1,,,,,,,,,,,,
gimbal2,1.66565579259142E-18,0,-5.55111512312578E-17,0,0,0,0.00730600065730224,5.14476869835539E-07,-5.72539034555591E-23,1.34393827721763E-22,2.49838326078774E-06,8.26100188657236E-24,2.44215073098293E-06,0,0,0,0,0,0,package://cmg_mockup/meshes/gimbal2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cmg_mockup/meshes/gimbal2.STL,,GIMBAL AXIS-2,Coordinate System2,axis_joint3,joint3,revolute,0,0.022,0.3,0,0,0,frame,-1,0,0,0,0,0,0,,,,,,,,
flywheel2,-8.42997684618261E-18,6.93889390390723E-18,-0.000257572459907152,0,0,0,0.0115837700311142,1.69787427560436E-06,8.37358811496551E-22,-3.18292437291809E-22,1.69787427560436E-06,1.34525792568568E-23,3.36639551515697E-06,0,0,0,0,0,0,package://cmg_mockup/meshes/flywheel2.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://cmg_mockup/meshes/flywheel2.STL,,FLYWHEEL REV01-1,Coordinate System2,axis_joint4,joint4,continuous,0,0,0,0,0,0,gimbal2,0,0,-1,,,,,,,,,,,,
