Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.95315815186336E-21,-5.28321611633813E-18,-6.04703832882441E-34,0,0,0,4.12611894583318,0.016545729792484,8.31981182398873E-20,-1.26926390026546E-24,0.0167520362912236,-2.85176098350281E-21,0.0165457505218212,0,0,0,0,0,0,package://flyhopper_mockup/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flyhopper_mockup/meshes/base_link.STL,,BODY-1,origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link 1,-0.15,-1.76689249496647E-17,2.77555756156289E-17,0,0,0,0.624823001646925,0.000227946900494079,7.57340254057453E-20,5.0821976835258E-19,0.00648268788779692,-2.42553659567009E-20,0.00634846443754988,0,0,0,0,0,0,package://flyhopper_mockup/meshes/Link 1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flyhopper_mockup/meshes/Link 1.STL,,LINK0-1,origin_joint1,Axis1,Joint 1,revolute,-0.25981,0,-0.15,3.1416,0.5236,3.1416,base_link,0,-1,0,0,0,-3.14,3.14,,,,,,,,
Link 2,-0.15,-1.94036484256415E-17,0,0,0,0,0.624823001646924,0.000227946900494075,-1.3267640809063E-20,1.23327997120226E-18,0.0064826878877969,4.94500075795682E-20,0.00634846443754987,0,0,0,0,0,0,package://flyhopper_mockup/meshes/Link 2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flyhopper_mockup/meshes/Link 2.STL,,LINK1-1,origin_joint2,Axis2,Joint 2,revolute,-0.15,0,0.25981,3.1416,-1.0472,3.1416,Link 1,0,-1,0,0,0,-3.14,3.14,,,,,,,,
