Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0040821970689855,0.000379301018317304,0.0170557032108192,0,0,0,5.59607837933863,0.00377267223926865,-3.22269145542781E-06,5.32612485392243E-05,0.00604204097244965,8.35702196039236E-06,0.00442179153407034,0,0,0,0,0,0,package://hopper_rev05/meshes/base_link.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://hopper_rev05/meshes/base_link.STL,,"RMD-X10 FRAME-1;RMD-X10 FRAME-2;MOTOR EA110, STATOR-1;MOTOR 8318, STATOR-3/MOTOR BACK HOUSING REV01-2;MOTOR 8318, STATOR-3;MOTOR EA110, STATOR-2;FRAME, LEFT REV04-1;FRAME, RIGHT REV04-1;MOUNT PLATE REV02-1;LITHIUM POLYMER BATTERY 1300MAH 6S 75C-3;ODRIVE PRO BOARD 4.4-1;LITHIUM POLYMER BATTERY 1300MAH 6S 75C-4;DRIVER MOUNT, RIGHT REV05-1;BATTERY HOLDER REV02-1;ODRIVE PRO BOARD 4.4-4;BATTERY HOLDER REV02-2;POWER SWITCH-1;UP ASSEMBLY-1;ODRIVE PRO BOARD 4.4-5;MOTOR MOUNT, RIGHT REV02-1;DRIVER MOUNT, LEFT REV05-1;MOTOR MOUNT, LEFT REV02-2;ODRIVE PRO BOARD 4.4-6;MOUNT BRACKET REV01-1;MOUNT BRACKET REV01-2;ODRIVE PRO BOARD 4.4-8;DIANOME PDB-2;91290A232_M5X15 BLACK-OXIDE ALLOY STEEL SHCS-1;91290A232_M5X15 BLACK-OXIDE ALLOY STEEL SHCS-2;94868A765_M5X40 FEMALE THREADED HEX STANDOFF-1;94868A767_M5X50 FEMALE THREADED HEX STANDOFF-1;91290A232_M5X15 BLACK-OXIDE ALLOY STEEL SHCS-3;91290A232_M5X15 BLACK-OXIDE ALLOY STEEL SHCS-4",origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link 0,0.0121851264299085,0.0180889013941849,0.00112690392742547,0,0,0,0.256385566503952,3.84650100874964E-05,1.5379784060096E-05,-8.48318798628566E-06,0.00017263374747093,1.08260201375488E-06,0.000148822440720501,0,0,0,0,0,0,package://hopper_rev05/meshes/Link 0.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://hopper_rev05/meshes/Link 0.STL,,RMX-X10 OUTPUT-2;LINK 0 REV01-6;57155K561_SS BALL BEARING-1;91235A314_BELLEVILLE SPRING LOCK WASHER-8;57155K561_SS BALL BEARING-2;57155K561_SS BALL BEARING-3;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-4;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-5;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-6,origin_joint0,Axis0-2,Joint 0,revolute,0,0,0,0,0.5235987755983,0,base_link,0,-1,0,0,0,-3.14,3.14,,,,,,,,
Link 1,0.133101645966312,0.00652998365271682,-1.77401555945256E-09,0,0,0,0.0631473819780702,2.55548531328563E-06,6.97718053328316E-12,-1.43600149958696E-12,0.000104301911822778,7.2290806785004E-12,0.000104301119173831,0,0,0,0,0,0,package://hopper_rev05/meshes/Link 1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hopper_rev05/meshes/Link 1.STL,,91235A314_BELLEVILLE SPRING LOCK WASHER-9;90269A209_316 SS SHOULDER SCREW-2;TUBE BRACKET REV01-1;90576A102_ZINC-PLATED CLASS 8 STL NYLON-INSERT LOCKNUT-3;TUBE BRACKET REV01-2;LINK 1 REV02-1;FOAM TUBING 1-1;FOAM TUBING 1-2;91235A314_BELLEVILLE SPRING LOCK WASHER-10;90576A102_ZINC-PLATED CLASS 8 STL NYLON-INSERT LOCKNUT-4;SHIM 4X6X0.3-6;SHIM 4X6X0.3-7;SHIM 4X6X0.3-8;SHIM 4X6X0.3-9;90323A218_18-8 SS LOW-PROFILE PRECISION SHOULDER SCREW-2;SHIM 4X6X0.3-5;CABLE MOUNT REV01-1;SHIM 4X6X0.3-10;SHIM 4X6X0.3-11;SHIM 4X6X0.3-12;SHIM 4X6X0.3-1,origin_joint1,Axis1,Joint 1,revolute,0.0999999999999999,0,0,-3.14159265358979,1.0768315178335,-3.14159265358979,Link 0,0,-1,0,0,0,-0.7597,1.8295,,,,,,,,
Link 2,0.0389032293637952,-0.0169313660252965,-0.000627148519961443,0,0,0,0.288845046277886,3.46488303623413E-05,-3.25958928897371E-07,5.24928685528962E-06,0.000245584747760095,3.01080375580465E-08,0.000226676363063251,0,0,0,0,0,0,package://hopper_rev05/meshes/Link 2.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://hopper_rev05/meshes/Link 2.STL,,"RMX-X10 OUTPUT-1;JOINT 2 REV02-1;LINK 2 REV02-1;EXTENSION SPRING PE067-500-62701-MW-5000-CO-N-IN-1;SPACER, SPRING MOUNT-1;WASHER, SPRING MOUNT-1;CABLE GUIDE SHEAVE REV01-1;7804K1_SS BALL BEARING-1;JOINT 3 REV02-1;SHIM 4X6X0.3-2;SHIM 4X6X0.3-3;91235A314_BELLEVILLE SPRING LOCK WASHER-11;91235A314_BELLEVILLE SPRING LOCK WASHER-12;90323A444_18-8 SS LOW-PROFILE PRECISION SHOULDER SCREW-1;SPACER, JOINT 3-1;SPACER, JOINT 3-2;SPACER, JOINT 3-3;90576A102_ZINC-PLATED CLASS 8 STL NYLON-INSERT LOCKNUT-5;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-1;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-3;91290A231_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-2;91290A242_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-1;91595A150_DOWEL PIN-1",origin_joint2,Axis0-2,Joint 2,revolute,0,0,0,3.14159265358979,0.553232742319403,-3.14159265358979,base_link,0,-1,0,0,0,-3.14,3.14,,,,,,,,
Link 3,0.10143817132357,-0.00251001068107951,-0.0148532860322689,0,0,0,0.12485760282637,1.60742534228895E-05,-5.54606266030352E-07,1.00368247557172E-06,0.000116506434688955,1.0713044107916E-07,0.000112946754183162,0,0,0,0,0,0,package://hopper_rev05/meshes/Link 3.STL,1,1,1,1,0,0,0,0,0,0,package://hopper_rev05/meshes/Link 3.STL,,"LINK 3 REV02-1;JOINT 3 CONNECTOR REV01-1;57155K561_SS BALL BEARING-4;57155K561_SS BALL BEARING-5;57155K561_SS BALL BEARING-6;57155K561_SS BALL BEARING-7;JOINT 4 REV01-1;SHIM 4X6X0.3-4;FOOT INSERT REV02-2;FOOT CONNECTOR REV02-1;FOOT PADDING, INNER REV01-1;FOOT PADDING, OUTER REV01-1;MMA8452Q-BREAKOUT-1;BOARD HOLDER REV01-1;91290A020_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-1;91290A020_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW-2",origin_joint3,Axis3,Joint 3,revolute,0.270000000042219,0,0,-3.14159265358979,-1.07683151743819,3.14159265358979,Link 2,0,-1,0,0,0,-1.8295,0.7597,,,,,,,,
rw0,-0.010686749946452,-7.59774469033525E-09,2.70423106737278E-09,0,0,0,0.715641175075329,0.00312227321188978,-1.82792593995257E-12,1.21113744575886E-11,0.00158570696597519,7.43838571199042E-09,0.00158570710797415,0,0,0,0,0,0,package://hopper_rev05/meshes/rw0.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://hopper_rev05/meshes/rw0.STL,,"FLYWHEEL REV01-1;MOTOR EA110, ROTOR-2",origin_joint_rw0,Axis_joint_rw0,joint_rw0,continuous,0.0620132647100599,-0.147253675939521,0,3.03065856040946,0,-0.785398163397452,base_link,1,0,0,,,,,,,,,,,,
rw1,-0.0106867499464566,7.59774405195701E-09,-2.70422928234232E-09,0,0,0,0.715641175076257,0.00312227321188979,1.82792669889409E-12,-1.21113744474242E-11,0.00158570696597532,7.43838570592397E-09,0.00158570710797428,0,0,0,0,0,0,package://hopper_rev05/meshes/rw1.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://hopper_rev05/meshes/rw1.STL,,"FLYWHEEL REV01-2;MOTOR EA110, ROTOR-1",origin_joint_rw1,AxisRW_left,joint_rw1,continuous,0.063525686232125,0.148766097461586,0,-0.0304329711040608,0,0.785398163397453,base_link,-1,0,0,,,,,,,,,,,,
rwz,9.05342951995625E-09,-3.16383599874293E-10,-0.0146079871766005,0,0,0,0.377854494953541,0.000300958121757203,-4.23471727248239E-12,-6.67153441322859E-12,0.000300957997312782,9.55842377314367E-14,0.000578115934214613,0,0,0,0,0,0,package://hopper_rev05/meshes/rwz.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://hopper_rev05/meshes/rwz.STL,,"FLYWHEEL, YAW REV01-1;MOTOR 8318, ROTOR-3",origin_joint_rwz,AxisRWZ,joint_rwz,continuous,-0.076,0,0.0991000000000001,0,0,-2.35619449019233,base_link,0,0,1,,,,,,,,,,,,
